"Question[String]","trueAnswer[String]","falseAnswer1[String]","falseAnswer2[String]","falseAnswer3[String]"
"Kết thúc câu chuyện ""Cây tre trăm đốt"", anh Khoai bay lên trời bằng gì?","Anh Khoai không bay lên trời.","Bằng cây tre","Bằng cây chổi","Bằng con dao =)))"
"Cái gì 2 lỗ: có gió thì sống, không gió thì chết?","Lỗ mũi =)) ","Lỗ mồm =)) ","Lỗ cống =))","Lỗ gì đó phải sống nhờ gió lùa =))"
"Ba con gà có tất cả bao nhiêu cái răng?","0 cái","9 cái ","12 cái","100 cái "
"Quả gì ai cũng sợ ăn trúng?","Quả nghiệp","Quả Trứng ","Quả mướp","Quả bóng"
"Con gì sinh ra đạo đức đã không tốt?","Con lừa","Con Pình","Con mèo","Con Cương"
"Con gì có cánh mà không có lông?","Con diều","Con gà trọc","Con mèo bị ghẻ","Con ma"
"Trò gì 5 bé hơn 2, 2 bé hơn 0 và 0 bé hơn 5?","Oẳn tù tì","Tài xỉu","Nhảy dây ","Trò con lừa"
"Cái gì càng thiu lại càng ngon?","Giấc ngủ","Đồ ăn","Đồ uống ","Không có"
"Một kẻ giết người bị kết án tử hình. Hắn ta phải chọn một trong ba căn phòng: phòng thứ nhất lửa cháy dữ dội, phòng thứ hai đầy những kẻ ám sát đang giương súng, và phòng thứ ba đầy sư tử nhịn đói trong ba năm. Phòng nào an toàn nhất cho hắn?","Phòng thứ ba","Phòng thứ nhất ","Phòng thứ hai","Không có"
"ột thằng mù và ba thằng điếc đi ăn phở, mỗi người một bát. Mỗi bát phở có giá là 10 ngàn đồng. Vậy họ phải trả bao nhiêu tiền","20 ngàn","10 ngàn "," 30 ngàn ","40 ngàn "
"What is between the sky and earth?","and","sky"," earth","human "
"CLB JS thành lập vào thời điểm nào?","2/2014"," 3/2014","4/2014"," 5/2014"
"Fuck boy JS gen 9 là ai?","Lê Bá Việt","Lê Thanh Bình","Lê Duy Cương","Nguyễn Minh Hoàng"
"Huyền thoại ban Chuyên môn JS là ai:","Vũ Hải Lâm","Phạm Hữu Bằng","Hồ Khánh Vũ","Hoàng Anh Quốc"
"Tại sao anh Vũ Hải Lâm chưa có người yêu?","Vì không có ai yêu","Vì anh tập trung gây dựng sự nghiệp","Vì anh quá đẹp trai","Tại anh thích"
" Cô gái được mọi người gọi là Trap girl Gen 10 là ai?","Nguyễn Lê Quỳnh Trang","Khuất Thị Hải Yến","Nguyễn Thị Quỳnh","Trịnh Thiên Hương"
"Team Building của JS lần gần nhất là ở đâu?","Mai Châu","Sơn Tinh Camp","Thiên Phú Lâm","Sóc Sơn"
"Trong đợt thử thách tuyển quân, có bao nhiêu sự kiện mà team văn hóa tổ chức?","4","2","3","5"
"Tính đến thời điểm hiện tại, JS Club được chia ra làm bao nhiêu ban?","5","6","4","7"
"JS Club là viết tắt của:","Japanese Software Engineers","Javascript Club","Japan Engineer Club","Japanese Software Engineer"
"Coding Project 2022 được tổ chức bởi JS Club có bao nhiêu đội thi tham gia?","6+1","6","6+2","6-1"
"Trong Coding Project 2022, người giành được phần thưởng của giải minigame trên Fanpage của JS Club:","Đinh Thanh Ngân","Cấn Nguyễn Bảo Châu","Nguyễn Tuấn Vũ","Lê Thanh Bình "
"Trong Coding Project 2022, đội thi nào đã giành được giải Cam Cháy?","Mệt mỏi vì code giỏi","KĐABBLPS","Team này già rồi","Maybách"
"Ai là người bị dính lời nguyền đi Team Building về sẽ chia tay người yêu (hiện tại là 2 lần)?"," Lê Duy Cương","Lại Đình Cao Đức","Nguyễn Thị Quỳnh","Lê Thanh Bình"
"Ban Chuyên môn đã và đang tổ chức training những môn code nào?
","WED, JAVA, C ","C, JAVA","WED, JAVA","C"
"Ai là người đầu tiên được tin tưởng gánh vác trọng trách BCN ở 2 Gen?
","Phan Trường Giang","Lê Thanh Bình","Hoàng Mạnh Khuất","Vũ Hải Lâm"
"","","","",""
"","","","",""
"","","","",""
"","","","",""
