"Question[String]","trueAnswer[String]","falseAnswer1[String]","falseAnswer2[String]","falseAnswer3[String]"
"Kết thúc câu chuyện ""Cây tre trăm đốt"", anh Khoai bay lên trời bằng gì?","Anh Khoai không bay lên trời.","Bằng cây tre","Bằng cây chổi","Bằng con dao =)))"
"Cái gì 2 lỗ: có gió thì sống, không gió thì chết?","Lỗ mũi =)) ","Lỗ mồm =)) ","Lỗ cống =))","Lỗ gì đó phải sống nhờ gió lùa =))"
"Ba con gà có tất cả bao nhiêu cái răng?","0 cái","9 cái ","12 cái","100 cái "
"Quả gì ai cũng sợ ăn trúng?","Quả nghiệp","Quả Trứng ","Quả mướp","Quả bóng"
"Con gì sinh ra đạo đức đã không tốt?","Con lừa","Con Pình","Con mèo","Con Cương"
"Con gì có cánh mà không có lông?","Con diều","Con gà trọc","Con mèo bị ghẻ","Con ma"
"Trò gì 5 bé hơn 2, 2 bé hơn 0 và 0 bé hơn 5?","Oẳn tù tì","Tài xỉu","Nhảy dây ","Trò con lừa"
"Cái gì càng thiu lại càng ngon?","Giấc ngủ","Đồ ăn","Đồ uống ","Không có"
"","","","",""
"","","","",""
